company,"Specific Bean Origin or Bar Name",REF,grading_year,"Cocoa Percent","Company Location",flavor_rating,"Bean Type",country_of_origin,Flavor Rating (1-10)
Amedei,Toscano Black,170,2007,63%,Italy,3.50,Blend, ,7
Amedei,Toscano Black,40,2006,70%,Italy,5.00,Blend, ,10
Amedei,Toscano Black,75,2006,66%,Italy,4.00,Blend, ,8
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil,6.5
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil,5.5
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,7.5
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,7.5
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.00,Forastero (Parazinho),Brazil,8
Anahata,Elvesia,1259,2014,75%,U.S.A.,3.00, ,Dominican Republic,6
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.50, ,Bolivia,7
Ara,Madagascar,1375,2014,75%,France,3.00,Trinitario,Madagascar,6
Ara,Chiapas,1379,2014,72%,France,2.50, ,Mexico,5
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador,5.5
Ara,Trincheras,1379,2014,75%,France,3.00, ,Venezuela,6
Arete,San Juan,1724,2016,70%,U.S.A.,3.50,Trinitario,Trinidad,7
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania,7.5
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.50,Trinitario,Vietnam,7
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador,6.5
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador,6.5
Arete,Lachua,1904,2016,70%,U.S.A.,3.50, ,Guatemala,7
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,7.5
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.50, ,Honduras,7
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.00, ,Costa Rica,8
Arete,Phantom,1924,2016,70%,U.S.A.,4.00,Forastero (Nacional),Peru,8
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,7.5
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji,6.5
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam,6.5
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.50, ,Brazil,7
Arete,Nacional,1534,2015,68%,U.S.A.,3.50,Forastero (Nacional),Peru,7
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,7.5
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.50, ,Domincan Republic,7
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,7.5
Arete,Chuno,1598,2015,70%,U.S.A.,4.00,"Criollo, Trinitario",Nicaragua,8
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil,5.5
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala,6.5
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.50, ,Ecuador,7
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad,6.5
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,7.5
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.00, ,Haiti,8
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama,5.5
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75, ,Venezuela,3.5
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,7.5
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica,6.5
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam,6.5
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.50, ,Indonesia,7
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.50,"Criollo, Trinitario",Venezuela,5
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia,5.5
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil,3.5
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.00,"Criollo, Trinitario",Madagascar,6
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.00,Criollo,Peru,6
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,6.5
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,7.5
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,5.5
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,7.5
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,7.5
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,7.5
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,7.5
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.50,Trinitario,Mexico,5
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.00,Forastero (Arriba),Ecuador,6
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , ,6.5
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.50, ,Papua New Guinea,7
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.00,Trinitario,Madagascar,6
Bahen & Co.,Bahia,999,2012,70%,Australia,2.50, ,Brazil,5
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.50,Blend, ,5
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru,5.5
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.50, ,Peru,7
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.50, ,Brazil,7
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.00,Forastero (Nacional),Peru,8
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic,6.5
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.50, ,Mexico,7
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,7.5
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica,5.5
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.50, ,Domincan Republic,7
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,7.5
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador,6.5
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.00, ,Malaysia,6
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25, ,Malaysia,6.5
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil,5.5
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic,5.5
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador,5.5
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75, ,Ecuador,5.5
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica,5.5
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75, ,Papua New Guinea,5.5
Belcolade,Peru,586,2010,64%,Belgium,2.75, ,Peru,5.5
Belcolade,Ecuador,586,2010,71%,Belgium,3.50, ,Ecuador,7
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.50,"Criollo, Trinitario",Tanzania,7
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia,6.5
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.50, ,Domincan Republic,7
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,5.5
Belyzium,Belize south,1768,2016,78%,Germany,3.00,Trinitario,Belize,6
Belyzium,Belize south,1768,2016,83%,Germany,3.50,Trinitario,Belize,7
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.50,Trinitario,Cuba,7
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.50,Criollo,Venezuela,7
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.50,Criollo,Venezuela,7
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.00,Trinitario,Ecuador,8
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.00,Trinitario,Indonesia,8
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,7.5
Bernachon,Nature,797,2012,55%,France,2.75, , ,5.5
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3.00,Trinitario,Madagascar,6
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3.00,Criollo,Venezuela,6
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.50, ,Venezuela,7
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.00, ,Ecuador,8
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela,6.5
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela,6.5
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.50, ,Indonesia,7
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.50, ,Venezuela,7
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.50, ,Nicaragua,5
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.50, ,Costa Rica,5
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.50, ,Costa Rica,5
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize,6.5
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.50,Forastero,Ghana,7
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25, ,Indonesia,6.5
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali",7.5
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75, ,Indonesia,5.5
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3.00,Trinitario,Madagascar,6
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3.00,Criollo,Venezuela,6
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.00, ,Dominican Republic,6
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.50, ,Dominican Republic,7
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar,6.5
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.50,Trinitario,Madagascar,7
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.00,Trinitario,Madagascar,6
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.50, ,Panama,7
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic,7.5
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.00,Forastero,Ghana,6
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic,5.5
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela,5.5
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.00, ,Nicaragua,6
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica,5.5
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.50,Forastero,Congo,7
Blanxart,Organic Dark,322,2009,72%,Spain,2.75, , ,5.5
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.50,Trinitario,Madagascar,7
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75, ,Guatemala,5.5
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.50, ,Tanzania,7
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.00, ,Dominican Republic,6
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.50, ,Guatemala,7
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,7.5
Bonnat,Selva Maya,1912,2016,75%,France,3.50, ,Mexico,7
Bonnat,Kaori,1339,2014,75%,France,4.00, ,Brazil,8
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic,6.5
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",7.5
Bonnat,Maragnam,1038,2013,75%,France,3.50, ,Brazil,7
Bonnat,Gabon,1042,2013,75%,France,3.25, ,Gabon,6.5
Bonnat,Cuba,629,2011,75%,France,3.50,Trinitario,Cuba,7
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.50, ,Peru,7
Bonnat,Piura Blanco,629,2011,75%,France,3.50,Forastero (Nacional),Peru,7
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil,7.5
Bonnat,Haiti,629,2011,75%,France,4.00, ,Haiti,8
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4.00,Criollo,Madagascar,8
Bonnat,Juliana,672,2011,75%,France,3.50, ,Brazil,7
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica,6.5
Bonnat,Ivory Coast,331,2009,75%,France,3.00, ,Ivory Coast,6
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru,5.5
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3.00,Criollo,Mexico,6
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.00,Criollo,Mexico,6
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.00,Criollo (Porcelana),Venezuela,8
Bonnat,Equateur,123,2007,75%,France,2.50,Forastero (Arriba),Ecuador,5
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,7.5
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4.00, ,Venezuela,8
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4.00,Criollo,Venezuela,8
Bonnat,Madagascar,75,2006,75%,France,4.00,Trinitario,Madagascar,8
Bonnat,One Hundred,81,2006,100%,France,1.50, , ,3
Bonnat,Ceylan,81,2006,75%,France,3.00, ,Sri Lanka,6
Bonnat,Chuao,81,2006,75%,France,4.00,Trinitario,Venezuela,8
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador,6.5
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.50,Forastero (Arriba),Ecuador,3
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize,5.5
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75, ,Dominican Republic,5.5
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.50,Criollo,Venezuela,7
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua,7.5
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic,7.5
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize,7.5
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4.00,Trinitario,Venezuela,8
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.00,Trinitario,Dominican Republic,6
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25, ,Ecuador,6.5
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.50,Forastero,Ghana,7
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.50,Trinitario,Venezuela,7
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3.00, ,Dominican Republic,6
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25, ,Dominican Republic,6.5
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.50, ,Guatemala,7
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75, ,Madagascar,5.5
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize,6.5
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25, ,Madagascar,6.5
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3.00,Trinitario,Jamaica,6
Bright,Somia Plantation,1231,2014,72%,Australia,3.00,Trinitario,Madagascar,6
Bright,Marabel Farms,1231,2014,70%,Australia,3.50, ,Dominican Republic,7
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.50, ,Ecuador,7
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad,5.5
Britarev,Ecuador,1638,2015,70%,Russia,3.25, ,Ecuador,6.5
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75, ,Dominican Republic,5.5
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad,6.5
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.50, ,Ecuador,7
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize,6.5
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend, ,6.5
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.50, ,Ecuador,5
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.50, ,Puerto Rico,5
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.50,Criollo,Peru,5
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.50, ,Dominican Republic,5
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75, ,Dominican Republic,5.5
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25, ,Venezuela,4.5
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.50,"Trinitario, Criollo",Haiti,7
Cacao Barry,Santo Domingo,586,2010,70%,France,3.00, ,Dominican Republic,6
Cacao Barry,Tanzania,300,2008,75%,France,2.00, ,Tanzania,4
Cacao Barry,Venezuela,141,2007,72%,France,2.00, ,Venezuela,4
Cacao Barry,Mexico,147,2007,66%,France,3.00, ,Mexico,6
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.50,Trinitario,Venezuela,7
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela,6.5
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.50, ,Venezuela,5
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25, ,Venezuela,6.5
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.50,Trinitario,Venezuela,7
