"company","country_of_origin","flavor_rating","grading_year"
"Arete","Costa Rica","4.0",2016
"Arete","Peru","4.0",2016
"Arete","Dominican Republic","3.75",2016
"Arete","Fiji","3.25",2016
"Arete","Vietnam","3.25",2016
"Arete","Brazil","3.5",2015
"Arete","Peru","3.5",2015
"Arete","Ecuador","3.75",2015
"Arete","Domincan Republic","3.5",2015
"Arete","Belize","3.75",2015
"Arete","Nicaragua","4.0",2015
"Arete","Brazil","2.75",2015
"Arete","Guatemala","3.25",2015
"Arete","Ecuador","3.5",2015
"Artisan du Chocolat","Trinidad","3.25",2013
"Artisan du Chocolat","Colombia","3.75",2012
"Artisan du Chocolat","Haiti","4.0",2011
"Artisan du Chocolat","Panama","2.75",2011
"Artisan du Chocolat","Venezuela","1.75",2010
"Artisan du Chocolat","Jamaica","3.75",2010
"Artisan du Chocolat","Costa Rica","3.25",2010
"Artisan du Chocolat","Vietnam","3.25",2010
"Artisan du Chocolat","Indonesia","3.5",2010
"Artisan du Chocolat","Venezuela","2.5",2009
"Artisan du Chocolat","Indonesia","2.75",2009
"Artisan du Chocolat","Brazil","1.75",2009
"Artisan du Chocolat","Madagascar","3.0",2009
"Artisan du Chocolat","Peru","3.0",2009
"Artisan du Chocolat","Dominican Republic","3.25",2009
"Artisan du Chocolat","Congo","3.75",2008
"Artisan du Chocolat (Casa Luker)","Colombia","2.75",2013
"Askinosie","Tanzania","3.75",2016
"Askinosie","Tanzania","3.75",2011
"Askinosie","Honduras","3.75",2011
"Askinosie","Philippines","3.75",2009
"Askinosie","Mexico","2.5",2007
"Askinosie","Ecuador","3.0",2007
"Bahen & Co."," ","3.25",2015
"Bahen & Co.","Papua New Guinea","3.5",2015
"Bahen & Co.","Madagascar","3.0",2012
"Bahen & Co.","Brazil","2.5",2012
"Bahen & Co."," ","2.5",2012
"Bakau","Peru","2.75",2015
"Bakau","Peru","3.5",2015
"Bar Au Chocolat","Brazil","3.5",2015
"Bar Au Chocolat","Peru","4.0",2014
"Bar Au Chocolat","Dominican Republic","3.25",2012
"Bar Au Chocolat","Mexico","3.5",2012
"Bar Au Chocolat","Madagascar","3.75",2012
"Baravelli's","Costa Rica","2.75",2012
"Batch","Domincan Republic","3.5",2016
"Batch","Brazil","3.75",2016
"Batch","Ecuador","3.25",2016
"Beau Cacao","Malaysia","3.0",2017
"Beau Cacao","Malaysia","3.25",2017
"Beehive","Brazil","2.75",2016
"Beehive","Domincan Republic","2.75",2016
"Beehive","Ecuador","2.75",2016
"Beehive","Ecuador","2.75",2016
"Belcolade","Costa Rica","2.75",2010
"Belcolade","Papua New Guinea","2.75",2010
"Belcolade","Peru","2.75",2010
"Belcolade","Ecuador","3.5",2010
"Bellflower","Tanzania","3.5",2016
"Bellflower","Bolivia","3.25",2016
"Bellflower","Domincan Republic","3.5",2016
"Belyzium","Belize","2.75",2016
"Belyzium","Belize","3.0",2016
"Belyzium","Belize","3.5",2016
"Benoit Nihant","Cuba","3.5",2013
"Benoit Nihant","Venezuela","3.5",2013
"Benoit Nihant","Venezuela","3.5",2013
"Benoit Nihant","Ecuador","4.0",2013
"Benoit Nihant","Indonesia","4.0",2011
"Benoit Nihant","Madagascar","3.75",2011
"Bernachon"," ","2.75",2012
"Beschle (Felchlin)","Madagascar","3.0",2011
"Beschle (Felchlin)","Venezuela","3.0",2011
"Beschle (Felchlin)","Venezuela","3.5",2011
"Beschle (Felchlin)","Ecuador","4.0",2011
"Beschle (Felchlin)","Venezuela","3.25",2010
"Beschle (Felchlin)","Venezuela","3.25",2010
"Beschle (Felchlin)","Indonesia","3.5",2010
"Beschle (Felchlin)","Venezuela","3.5",2010
"Bisou","Nicaragua","2.5",2015
"Bisou","Costa Rica","2.5",2015
"Bisou","Costa Rica","2.5",2015
"Bisou","Belize","3.25",2015
"Bittersweet Origins","Ghana","3.5",2012
"Bittersweet Origins","Indonesia","3.25",2010
"Bittersweet Origins","Dominican Rep., Bali","3.75",2010
"Bittersweet Origins","Indonesia","2.75",2010
"Bittersweet Origins","Madagascar","3.0",2010
"Bittersweet Origins","Venezuela","3.0",2010
"Bittersweet Origins","Dominican Republic","3.0",2009
"Bittersweet Origins","Dominican Republic","3.5",2009
"Bittersweet Origins","Madagascar","3.25",2009
"Bittersweet Origins","Madagascar","3.5",2009
"Bittersweet Origins","Madagascar","3.0",2008
"Bittersweet Origins","Panama","3.5",2008
"Bittersweet Origins","Dominican Republic","3.75",2008
"Bittersweet Origins","Ghana","3.0",2008
"Black Mountain","Dominican Republic","2.75",2008
"Black Mountain","Venezuela","2.75",2008
"Black Mountain","Nicaragua","3.0",2008
"Black River (A. Morin)","Jamaica","2.75",2014
"Blanxart","Congo","3.5",2013
"Blanxart"," ","2.75",2009
"Blue Bandana","Madagascar","3.5",2016
"Blue Bandana","Guatemala","2.75",2016
"Blue Bandana","Tanzania","3.5",2016
"Blue Bandana","Dominican Republic","3.0",2016
"Blue Bandana","Guatemala","3.5",2012
"Blue Bandana","Madagascar","3.75",2012
"Bonnat","Mexico","3.5",2016
"Bonnat","Brazil","4.0",2014
"Bonnat","Dominican Republic","3.25",2014
"Bonnat","Venez,Africa,Brasil,Peru,Mex","3.75",2014
"Bonnat","Brazil","3.5",2013
"Bonnat","Gabon","3.25",2013
"Bonnat","Cuba","3.5",2011
"Bonnat","Peru","3.5",2011
"Bonnat","Peru","3.5",2011
"Bonnat","Brazil","3.75",2011
"Bonnat","Haiti","4.0",2011
"Bonnat","Madagascar","4.0",2011
"Bonnat","Brazil","3.5",2011
"Bonnat","Jamaica","3.25",2011
"Bonnat","Ivory Coast","3.0",2009
"Bonnat","Peru","2.75",2009
"Bonnat","Mexico","3.0",2009
"Bonnat","Mexico","3.0",2009
"Bonnat","Venezuela","4.0",2008
"Bonnat","Ecuador","2.5",2007
"Bonnat","Carribean","3.75",2006
"Bonnat","Venezuela","4.0",2006
"Bonnat","Venezuela","4.0",2006
"Bonnat","Madagascar","4.0",2006
"Bonnat"," ","1.5",2006
"Bonnat","Sri Lanka","3.0",2006
"Bonnat","Venezuela","4.0",2006
"Bouga Cacao (Tulicorp)","Ecuador","3.25",2009
"Bouga Cacao (Tulicorp)","Ecuador","1.5",2009
"Bowler Man","Belize","2.75",2014
"Bowler Man","Dominican Republic","2.75",2014
"Brasstown aka It's Chocolate","Venezuela","3.5",2016
"Brasstown aka It's Chocolate","Nicaragua","3.75",2016
"Brasstown aka It's Chocolate","Dominican Republic","3.75",2015
"Brasstown aka It's Chocolate","Belize","3.75",2014
"Brasstown aka It's Chocolate","Venezuela","4.0",2014
"Brasstown aka It's Chocolate","Dominican Republic","3.0",2013
"Brasstown aka It's Chocolate","Ecuador","3.25",2013
"Brasstown aka It's Chocolate","Ghana","3.5",2013
"Brasstown aka It's Chocolate","Venezuela","3.5",2013
"Brazen","Dominican Republic","3.0",2015
"Brazen","Dominican Republic","3.25",2015
"Brazen","Guatemala","3.5",2015
"Brazen","Madagascar","2.75",2015
"Brazen","Belize","3.25",2015
"Brazen","Madagascar","3.25",2015
"Breeze Mill","Jamaica","3.0",2013
"Bright","Madagascar","3.0",2014
"Bright","Dominican Republic","3.5",2014
"Bright","Ecuador","3.5",2014
"Bright","Trinidad","2.75",2014
"Britarev","Ecuador","3.25",2015
"Bronx Grrl Chocolate","Dominican Republic","2.75",2013
"Burnt Fork Bend","Trinidad","3.25",2014
"Burnt Fork Bend","Ecuador","3.5",2014
"Burnt Fork Bend","Belize","3.25",2014
"Burnt Fork Bend"," ","3.25",2014
"Burnt Fork Bend","Ecuador","2.5",2014
"Cacao Arabuco","Puerto Rico","2.5",2015
"Cacao Atlanta","Peru","2.5",2014
"Cacao Atlanta","Dominican Republic","2.5",2010
"Cacao Atlanta","Dominican Republic","2.75",2010
"Cacao Atlanta","Venezuela","2.25",2010
"Cacao Barry","Haiti","3.5",2016
"Cacao Barry","Dominican Republic","3.0",2010
"Cacao Barry","Tanzania","2.0",2008
"Cacao Barry","Venezuela","2.0",2007
"Cacao Barry","Mexico","3.0",2007
"Cacao de Origen","Venezuela","3.5",2015
"Cacao de Origen","Venezuela","3.25",2015
"Cacao de Origen","Venezuela","2.5",2014
"Cacao de Origen","Venezuela","3.25",2014
"Cacao de Origen","Venezuela","3.5",2014
"Cacao de Origen","Venezuela","3.75",2014
"Cacao de Origin","Venezuela","3.25",2015
"Cacao Hunters","Colombia","3.75",2016
"Cacao Hunters","Colombia","3.75",2016
"Cacao Hunters","Colombia","3.75",2015
"Cacao Hunters","Colombia","3.5",2014
"Cacao Hunters","Colombia","3.5",2014
"Cacao Hunters","Colombia","2.75",2014
"Cacao Hunters","Colombia","3.25",2014
"Cacao Market","Honduras","3.5",2016
"Cacao Prieto","Dominican Republic","3.75",2012
"Cacao Prieto","Dominican Republic","3.0",2011
"Cacao Prieto","Dominican Republic","3.75",2011
"Cacao Prieto","Dominican Republic","3.25",2011
"Cacao Sampaka","Congo","3.5",2016
"Cacao Sampaka","Madagascar","3.5",2010
"Cacao Sampaka","Ecuador","3.75",2010
"Cacao Sampaka","Papua New Guinea","4.0",2010
"Cacao Sampaka","Grenada","3.25",2010
"Cacao Sampaka","Venezuela","3.5",2010
"Cacao Sampaka","Venezuela","3.5",2010
"Cacao Sampaka","Mexico","4.0",2009
"Cacao Sampaka","Mexico","4.0",2009
"Cacao Store","Madagascar","3.0",2015
"Cacao Store","Peru","3.25",2015
"Cacao Store","Vietnam","3.5",2015
"Cacaosuyo (Theobroma Inversiones)","Peru","3.25",2013
"Cacaoyere (Ecuatoriana)","Ecuador","3.5",2008
"Cacaoyere (Ecuatoriana)","Ecuador","3.5",2008
"Cacaoyere (Ecuatoriana)","Ecuador","2.5",2008
"Cacaoyere (Ecuatoriana)","Ecuador","1.5",2008
"Callebaut","Grenada","2.75",2008
"Callebaut","Ecuador","1.0",2007
"C-Amaro","Cuba","2.5",2014
"C-Amaro","Dominican Republic","3.0",2014
"C-Amaro"," ","3.5",2014
"C-Amaro","Ecuador","3.5",2013
"C-Amaro","Venezuela","3.0",2012
"C-Amaro","Sao Tome","2.25",2011
"C-Amaro","Trinidad","2.5",2011
"Cao","Venezuela","2.5",2016
"Cao","Tanzania","2.75",2016
"Cao","Venezuela","3.0",2016
"Cao","Bolivia","3.0",2016
"Cao","Brazil","3.25",2016
"Caoni (Tulicorp)","Ecuador","2.0",2008
"Caoni (Tulicorp)","Ecuador","2.5",2008
"Caoni (Tulicorp)","Ecuador","2.75",2008
"Caoni (Tulicorp)","Ecuador","3.0",2008
"Caoni (Tulicorp)","Ecuador","3.25",2008
"Caoni (Tulicorp)","Ecuador","3.5",2008
"Captain Pembleton","Papua New Guinea","3.5",2014
"Captain Pembleton","Papua New Guinea","3.75",2014
"Caribeans","Guatemala","3.5",2015
"Caribeans","Costa Rica","3.25",2015
"Caribeans","Costa Rica","3.5",2015
"Caribeans","Costa Rica","3.0",2012
"Caribeans","Costa Rica","2.75",2012
"Carlotta Chocolat","Colombia","3.0",2016
"Carlotta Chocolat","Colombia","3.25",2016
"Carlotta Chocolat","Colombia","3.25",2016
"Carlotta Chocolat","Colombia","3.5",2016
"Carlotta Chocolat","Colombia","3.5",2016
"Castronovo","Belize","4.0",2016
"Castronovo","Honduras","3.5",2015
"Castronovo","Domincan Republic","3.75",2015
"Castronovo","Venezuela","3.5",2015
"Castronovo","Colombia","3.5",2014
"Castronovo","Colombia","3.5",2014
"Castronovo","Dominican Republic","2.75",2014
"Castronovo","Bolivia","3.0",2013
"Castronovo","Dominican Republic","3.5",2013
"Castronovo","Peru","2.5",2013
"Castronovo","Venezuela","3.25",2013
"Castronovo","Nicaragua","3.25",2013
"Castronovo","Peru","2.75",2013
"Castronovo","Venezuela","3.0",2013
"Cello","Ecuador","2.5",2014
"Cello","Peru","2.75",2014
"Cello","Venezuela","2.75",2014
"Cello","Bolivia","3.0",2014
"Cemoi","Ecuador","2.75",2009
"Chaleur B","Uganda","2.75",2014
"Charm School","Belize","3.25",2016
"Chchukululu (Tulicorp)","Ecuador","2.75",2010
"Chchukululu (Tulicorp)","Ecuador","3.0",2008
"Chequessett","Costa Rica","3.5",2014
"Chloe Chocolat"," ","3.5",2011
"Chocablog","Ecuador","3.25",2015
"Choco Del Sol","Belize","3.0",2014
"Choco Del Sol","Belize","3.25",2014
"Choco Dong","Vietnam","2.75",2015
"Choco Dong","Malaysia","3.5",2015
"Chocolarder","Peru","2.5",2015
"Chocolarder","Peru","2.75",2015
"Chocolarder","Dominican Republic","2.5",2015
"Chocola'te","Madagascar","3.75",2011
"Chocola'te","Venezuela","3.75",2011
"Chocolate Alchemist-Philly","Peru","2.5",2016
"Chocolate Alchemist-Philly"," ","2.5",2016
"Chocolate Con Amor","Bolivia","2.5",2016
"Chocolate Con Amor","Uganda","2.75",2016
"Chocolate Con Amor","Dominican Republic","3.0",2016
"Chocolate Con Amor","Dominican Republic","3.0",2016
"Chocolate Con Amor","Venezuela","3.0",2016
"Chocolate Con Amor","Ecuador","3.25",2016
"Chocolate Con Amor","Nicaragua","2.75",2016
"Chocolate Conspiracy","Peru","2.75",2014
"Chocolate Makers","Dominican Republic","3.25",2015
"Chocolate Makers","Congo","3.5",2015
"Chocolate Makers","Peru","3.75",2015
"Chocolate Tree, The","Peru","3.75",2015
"Chocolate Tree, The","Venezuela","3.75",2015
"Chocolate Tree, The","Peru","3.75",2013
"Chocolate Tree, The","Ecuador","2.5",2012
"Chocolate Tree, The","Peru","2.75",2012
"Chocolate Tree, The","Madagascar","3.25",2012
"Chocolats Privilege","Mexico","2.5",2014
"ChocoReko","Venezuela","3.0",2015
"Chocosol","Mexico","3.25",2011
"Chocovic","Mexico","3.25",2010
"Chocovic","Madagascar","3.5",2010
"Chocovic"," ","3.25",2009
"Chocovic"," ","3.25",2009
"Chocovic","Venezuela","3.5",2008
"Chocovic","Ecuador","2.5",2007
"Chocovic","Grenada","2.5",2007
"Chocovic"," ","3.0",2007
"Chocovivo","Mexico","2.5",2015
"Chocovivo","Mexico","2.5",2015
"Choklat","Venezuela","2.5",2009
"Choklat","Mexico","2.75",2009
"Choklat","Brazil","3.0",2009
"Choklat","Brazil","3.0",2009
"Choklat","Venezuela","3.0",2009
"Chokolat Elot (Girard)","Martinique","2.75",2013
"Choocsol","Mexico","3.25",2016
"Christopher Morel (Felchlin)","Peru","3.75",2011
"Chuao Chocolatier","Venezuela","3.0",2009
"Chuao Chocolatier (Pralus)","Venezuela","2.75",2010
"Claudio Corallo","Sao Tome & Principe","3.75",2010
"Claudio Corallo","Sao Tome & Principe","3.0",2008
"Claudio Corallo","Sao Tome & Principe","4.0",2008
"Claudio Corallo","Sao Tome & Principe","1.0",2008
"Cloudforest","Ecuador","3.5",2015
"Coleman & Davis","Madagascar","3.0",2015
"Compania de Chocolate (Salgado)","Venezuela","3.25",2010
"Compania de Chocolate (Salgado)","Venezuela","2.75",2008
"Compania de Chocolate (Salgado)","Bolivia","3.25",2008
"Compania de Chocolate (Salgado)","Venezuela","3.75",2008
"Compania de Chocolate (Salgado)","Ecuador","2.75",2008
"Condor","Ecuador","3.5",2015
"Confluence","Vietnam","2.75",2016
"Coppeneur","Ecuador","3.25",2013
"Coppeneur","Ghana","3.5",2012
"Coppeneur","Ecuador","1.5",2012
"Coppeneur","Sao Tome & Principe","3.75",2012
"Coppeneur","Madagascar","3.5",2012
"Coppeneur","Grenada","3.25",2010
"Coppeneur","Venezuela","3.0",2010
"Coppeneur","Ecuador","2.5",2010
"Coppeneur","Trinidad","3.0",2010
"Coppeneur","Jamaica","3.25",2010
"Coppeneur","Venezuela","3.25",2010
"Coppeneur","Peru","3.0",2009
"Coppeneur","Peru","3.25",2009
"Coppeneur","Venezuela","3.5",2009
"Coppeneur","Venezuela","3.75",2009
"Coppeneur","Mexico","3.0",2008
"Coppeneur","Venezuela","3.0",2008
"Coppeneur","Madagascar","3.0",2007
"Cote d' Or (Kraft)"," ","1.0",2006
"Cravve","Papua New Guinea","2.5",2014
"Cravve","Vanuatu","2.75",2014
"Cravve","Tanzania","3.25",2012
"Cravve","Brazil","3.25",2012
"Cravve","Fiji","3.25",2012
"Cravve","Vanuatu","3.25",2012
"Cravve","Papua New Guinea","3.5",2012
"Creo","Ecuador","3.25",2016
"Creo","Ecuador","3.75",2016
"Daintree","Australia","2.75",2015
"Daintree","Australia","3.25",2011
"Dalloway","Dominican Republic","2.75",2017
"Damson","Trinidad","3.0",2015
"Damson","Ecuador","3.5",2015
"Damson","Grenada","2.25",2015
"Damson","Nicaragua","2.75",2015
"Dandelion"," ","3.75",2016
"Dandelion","Belize","3.0",2015
"Dandelion","Belize","3.5",2014
"Dandelion","Ecuador","3.5",2014
"Dandelion","Liberia","2.75",2014
"Dandelion","Dominican Republic","3.75",2014
"Dandelion","Venezuela","2.75",2013
"Dandelion","Venezuela","3.25",2013
"Dandelion","Venezuela","3.5",2013
"Dandelion","Papua New Guinea","3.5",2013
"Dandelion","Costa Rica","3.0",2012
"Dandelion","Colombia","3.25",2012
"Dandelion","Dominican Republic","3.75",2012
"Dandelion","Dominican Republic","3.25",2011
"Dandelion","Madagascar","3.25",2011
"Dandelion","Tanzania","3.25",2011
"Danta","Guatemala","3.25",2014
"Danta","Venezuela","3.0",2012
"Danta","Guatemala","3.75",2012
"Danta","Madagascar","3.75",2012
"Danta","Guatemala","4.0",2012
"Danta","Guatemala","3.25",2012
"Danta","Guatemala","3.5",2011
"Danta","Guatemala","3.0",2009
"Danta","Guatemala","3.25",2009
"DAR","Venezuela","2.75",2016
"DAR","Vietnam","3.0",2016
"DAR","Ecuador, Costa Rica","3.25",2016
"Dark Forest","Bolivia","3.25",2016
"Dark Forest","Madagascar","3.0",2015
"Dark Forest","Venezuela","3.25",2015
"Dark Forest","Tanzania","3.0",2015
"Dark Forest","Ecuador","3.25",2015
"Davis","Ghana","2.5",2013
"Davis","Dominican Republic","2.75",2013
"Davis","Venezuela","2.75",2013
"Davis","West Africa","3.25",2012
"De Mendes","Brazil","3.5",2015
"De Mendes","Brazil","3.5",2015
"De Villiers","Uganda","2.5",2016
"De Villiers","Madagascar","3.0",2016
"Dean and Deluca (Belcolade)","Madagascar","2.5",2007
"Dean and Deluca (Belcolade)","Costa Rica","3.0",2007
"Dean and Deluca (Belcolade)","Ecuador","3.0",2007
"Dean and Deluca (Belcolade)","Ghana","3.0",2007
"Dean and Deluca (Belcolade)","Papua New Guinea","3.0",2007
"Dean and Deluca (Belcolade)","Peru","3.0",2007
"Debauve & Gallais (Michel Cluizel)","Papua New Guinea","3.0",2009
"Debauve & Gallais (Michel Cluizel)","Venezuela","3.75",2008
"Desbarres","Tanzania","2.5",2016
"DeVries","Bolivia","2.75",2008
"DeVries","Costa Rica","3.5",2007
"DeVries","Dominican Republic","3.5",2007
"Dick Taylor","Guatemala","3.75",2017
"Dick Taylor","Vietnam","3.5",2016
"Dick Taylor","Bolivia","3.75",2015
"Dick Taylor","Dominican Republic","3.5",2014
"Dick Taylor","Ecuador","3.25",2013
"Dick Taylor","Ecuador","3.5",2013
"Dick Taylor","Bolivia","2.75",2012
"Dick Taylor","Belize","2.75",2012
"Dick Taylor","Madagascar","2.75",2011
"Dick Taylor","Madagascar","3.0",2011
"Dick Taylor","Venezuela","2.75",2011
"Dick Taylor","Dominican Republic","3.0",2011
"Dick Taylor","Ecuador","3.25",2011
"Doble & Bignall","Venezuela","3.0",2015
"Doble & Bignall","Panama","3.25",2014
"Doble & Bignall","Venezuela","3.25",2014
"Doble & Bignall","Nicaragua","3.5",2014
"Dole (Guittard)","Hawaii","3.75",2009
"Dolfin (Belcolade)","West Africa","3.0",2008
"Dolfin (Belcolade)"," ","1.5",2006
"Domori","Ecuador","3.75",2015
"Domori","Venezuela","3.75",2015
"Domori","Venezuela","3.0",2013
"Domori","Tanzania","3.5",2012
"Domori","Venezuela","3.75",2012
"Domori","Venezuela","3.5",2011
"Domori","Venezuela","3.0",2010
"Domori","Venezuela","3.0",2008
"Domori","Colombia","3.0",2008
"Domori"," ","3.5",2008
"Domori"," ","3.75",2008
"Domori","Venezuela","4.0",2007
"Domori","Venezuela","3.25",2007
"Domori","Venezuela","3.25",2007
"Domori","Madagascar","3.5",2007
"Domori","Madagascar","3.5",2007
"Domori","Indonesia","3.75",2007
"Domori","Ecuador","4.0",2007
"Domori","Venezuela","4.0",2007
"Domori","Venezuela","3.0",2006
"Domori","Peru","3.25",2006
"Domori","Venezuela","3.5",2006
"Dormouse","Grenada","2.75",2016
"Dormouse","Venezuela","2.5",2015
"Dormouse","Colombia","2.75",2015
"Dormouse","Madagascar","2.75",2015
"Duffy's","Guatemala","4.0",2015
"Duffy's","Nicaragua","3.5",2014
"Duffy's","Nicaragua","3.75",2014
"Duffy's","Venezuela","3.75",2012
"Duffy's","Honduras","3.75",2011
"Duffy's","Dominican Republic","3.5",2011
"Duffy's","Panama","3.0",2011
"Duffy's","Nicaragua","3.25",2011
"Duffy's","Venezuela","3.5",2011
"Duffy's","Panama","3.5",2010
"Duffy's","Ecuador","3.75",2010
"Duffy's","Ecuador","2.5",2010
"Duffy's","Peru","3.75",2010
"Dulcinea","Dominican Republic","3.25",2015
"Durand","Madagascar","2.75",2012
"Durci","Peru","3.5",2015
"Durci","Venezuela","3.5",2015
"Durci","Domincan Republic","3.25",2015
"Durci","Venezuela","3.25",2015
"Durci","Ecuador","4.0",2015
"East Van Roasters","Peru","3.25",2014
"East Van Roasters","Madagascar","3.5",2014
"East Van Roasters","Dominican Republic","3.75",2014
"Eau de Rose","Colombia","3.25",2016
"Eau de Rose","Colombia","3.25",2016
"Eclat (Felchlin)","Peru","2.75",2012
"Edelmond","Venezuela","3.0",2016
"El Ceibo","Bolivia","3.75",2011
"El Ceibo","Bolivia","2.75",2008
"El Rey","Venezuela","3.75",2015
"El Rey","Venezuela","2.75",2009
"El Rey","Venezuela","3.0",2009
"El Rey","Venezuela","2.5",2008
"El Rey","Venezuela","2.5",2008
"El Rey","Venezuela","3.0",2008
"El Rey","Venezuela","2.75",2006
"Emerald Estate","St. Lucia","2.75",2013
"Emerald Estate","St. Lucia","3.25",2013
"Emily's","Venezuela","3.0",2015
"Emily's","Peru","3.5",2015
"ENNA","Honduras","3.25",2016
"Enric Rovira (Claudio Corallo)","Sao Tome & Principe","3.25",2010
"Erithaj (A. Morin)","Vietnam","3.25",2014
"Erithaj (A. Morin)","Vietnam","3.0",2014
"Erithaj (A. Morin)","Vietnam","3.25",2014
"Escazu","Venezuela","2.75",2012
"Escazu","Costa Rica","2.0",2009
"Escazu","Venezuela","3.5",2009
"Escazu","Cost Rica, Ven","2.75",2009
"Escazu","Venezuela","3.0",2008
"Ethel's Artisan (Mars)","Peru, Madagascar","2.5",2011
"Ethel's Artisan (Mars)","Trinidad","2.5",2011
"Ethel's Artisan (Mars)","Venezuela","2.5",2011
"Ethel's Artisan (Mars)"," ","2.75",2011
"Ethel's Artisan (Mars)","Venezuela, Trinidad","2.5",2011
"Ethereal","Belize","3.0",2014
"Ethereal","Ecuador","3.5",2014
"Ethereal","Dominican Republic","3.75",2014
"Fearless (AMMA)","Brazil","2.75",2010
"Feitoria Cacao","Jamaica","3.0",2016
"Feitoria Cacao","Venezuela","2.5",2016
"Feitoria Cacao","Belize","2.75",2016
"Felchlin","Grenada","3.5",2010
"Felchlin"," ","2.0",2006
"Felchlin","Dominican Republic","3.0",2006
"Felchlin","Madagascar","3.0",2006
"Felchlin","Venezuela","3.0",2006
